winner,winner_score,loser,loser_score
BullyBot,68,RandBot,0
BullyBot,70,RandBot,40
RandBot,61,BullyBot,59
BullyBot,66,RandBot,46
RandBot,59,BullyBot,61
RandBot,78,BullyBot,32
RandBot,75,BullyBot,60
BullyBot,74,RandBot,0
BullyBot,66,RandBot,41
BullyBot,70,RandBot,0
BullyBot,68,RandBot,21
BullyBot,76,RandBot,25
RandBot,86,BullyBot,6
RandBot,67,BullyBot,49
BullyBot,76,RandBot,0
BullyBot,79,RandBot,0
BullyBot,76,RandBot,0
RandBot,69,BullyBot,27
RandBot,69,BullyBot,51
BullyBot,76,RandBot,21
RandBot,74,BullyBot,56
RandBot,67,BullyBot,20
BullyBot,75,RandBot,21
BullyBot,78,RandBot,38
BullyBot,66,RandBot,21
RandBot,67,BullyBot,49
BullyBot,73,RandBot,28
RandBot,70,BullyBot,46
BullyBot,75,RandBot,0
RandBot,76,BullyBot,44
RandBot,62,BullyBot,58
RandBot,64,BullyBot,56
BullyBot,68,RandBot,28
RandBot,66,BullyBot,49
BullyBot,66,RandBot,0
RandBot,67,BullyBot,53
RandBot,68,BullyBot,52
RandBot,58,BullyBot,62
BullyBot,76,RandBot,0
RandBot,67,BullyBot,53
RandBot,59,BullyBot,61
RandBot,73,BullyBot,34
BullyBot,66,RandBot,50
RandBot,72,BullyBot,37
RandBot,68,BullyBot,26
RandBot,58,BullyBot,62
RandBot,108,BullyBot,62
RandBot,55,BullyBot,65
RandBot,68,BullyBot,13
RandBot,67,BullyBot,28
RandBot,72,BullyBot,51
BullyBot,75,RandBot,0
RandBot,57,BullyBot,63
BullyBot,74,RandBot,0
BullyBot,66,RandBot,0
BullyBot,66,RandBot,36
BullyBot,77,RandBot,21
BullyBot,78,RandBot,42
BullyBot,66,RandBot,0
BullyBot,65,RandBot,55
RandBot,61,BullyBot,59
RandBot,80,BullyBot,35
RandBot,64,BullyBot,56
RandBot,61,BullyBot,59
BullyBot,75,RandBot,0
BullyBot,72,RandBot,34
BullyBot,72,RandBot,0
BullyBot,79,RandBot,0
RandBot,69,BullyBot,51
BullyBot,68,RandBot,40
RandBot,58,BullyBot,62
BullyBot,67,RandBot,0
BullyBot,66,RandBot,35
RandBot,76,BullyBot,38
RandBot,76,BullyBot,25
BullyBot,68,RandBot,41
RandBot,64,BullyBot,56
RandBot,68,BullyBot,28
RandBot,68,BullyBot,48
BullyBot,73,RandBot,13
BullyBot,67,RandBot,53
RandBot,69,BullyBot,46
RandBot,59,BullyBot,61
RandBot,65,BullyBot,55
BullyBot,69,RandBot,21
BullyBot,77,RandBot,26
BullyBot,77,RandBot,13
BullyBot,70,RandBot,25
BullyBot,67,RandBot,21
RandBot,68,BullyBot,15
RandBot,67,BullyBot,20
RandBot,73,BullyBot,47
BullyBot,68,RandBot,0
RandBot,67,BullyBot,48
RandBot,65,BullyBot,55
BullyBot,67,RandBot,27
RandBot,73,BullyBot,15
BullyBot,68,RandBot,0
BullyBot,68,RandBot,0
BullyBot,72,RandBot,14
BullyBot,69,RandBot,20
RandBot,68,BullyBot,34
RandBot,76,BullyBot,39
BullyBot,70,RandBot,5
BullyBot,66,RandBot,0
BullyBot,66,RandBot,0
BullyBot,78,RandBot,21
BullyBot,65,RandBot,55
BullyBot,75,RandBot,0
RandBot,67,BullyBot,53
RandBot,56,BullyBot,64
RandBot,66,BullyBot,50
BullyBot,67,RandBot,0
BullyBot,68,RandBot,0
RandBot,72,BullyBot,57
BullyBot,76,RandBot,0
BullyBot,66,RandBot,0
BullyBot,67,RandBot,47
BullyBot,67,RandBot,48
RandBot,66,BullyBot,54
BullyBot,66,RandBot,42
BullyBot,70,RandBot,13
RandBot,67,BullyBot,17
RandBot,75,BullyBot,39
RandBot,67,BullyBot,35
BullyBot,66,RandBot,20
RandBot,69,BullyBot,46
RandBot,58,BullyBot,62
RandBot,66,BullyBot,0
BullyBot,70,RandBot,25
BullyBot,68,RandBot,0
RandBot,68,BullyBot,53
RandBot,56,BullyBot,64
RandBot,59,BullyBot,61
RandBot,68,BullyBot,52
BullyBot,71,RandBot,0
BullyBot,72,RandBot,0
BullyBot,72,RandBot,48
RandBot,70,BullyBot,38
RandBot,62,BullyBot,58
BullyBot,75,RandBot,53
RandBot,58,BullyBot,62
BullyBot,70,RandBot,0
RandBot,74,BullyBot,29
BullyBot,75,RandBot,12
RandBot,65,BullyBot,55
BullyBot,75,RandBot,0
RandBot,70,BullyBot,19
BullyBot,72,RandBot,0
RandBot,74,BullyBot,46
RandBot,76,BullyBot,54
BullyBot,68,RandBot,8
BullyBot,66,RandBot,35
BullyBot,68,RandBot,0
RandBot,76,BullyBot,0
RandBot,65,BullyBot,55
RandBot,71,BullyBot,0
BullyBot,76,RandBot,0
RandBot,67,BullyBot,53
BullyBot,69,RandBot,35
BullyBot,55,RandBot,65
RandBot,70,BullyBot,33
BullyBot,75,RandBot,6
BullyBot,74,RandBot,0
BullyBot,69,RandBot,6
BullyBot,70,RandBot,0
BullyBot,68,RandBot,0
RandBot,76,BullyBot,27
BullyBot,74,RandBot,0
BullyBot,77,RandBot,19
BullyBot,69,RandBot,33
BullyBot,72,RandBot,48
RandBot,75,BullyBot,26
RandBot,66,BullyBot,54
RandBot,67,BullyBot,53
BullyBot,67,RandBot,6
BullyBot,83,RandBot,0
RandBot,68,BullyBot,21
RandBot,68,BullyBot,40
BullyBot,75,RandBot,0
BullyBot,68,RandBot,20
RandBot,60,BullyBot,60
RandBot,60,BullyBot,60
RandBot,58,BullyBot,62
RandBot,69,BullyBot,27
BullyBot,76,RandBot,6
RandBot,75,BullyBot,7
RandBot,76,BullyBot,40
BullyBot,76,RandBot,0
RandBot,75,BullyBot,26
BullyBot,74,RandBot,13
BullyBot,71,RandBot,0
BullyBot,75,RandBot,0
RandBot,67,BullyBot,36
RandBot,62,BullyBot,58
RandBot,60,BullyBot,60
RandBot,67,BullyBot,48
BullyBot,70,RandBot,0
RandBot,67,BullyBot,28
BullyBot,64,RandBot,56
BullyBot,78,RandBot,0
BullyBot,68,RandBot,14
RandBot,68,BullyBot,52
BullyBot,69,RandBot,0
BullyBot,69,RandBot,0
RandBot,68,BullyBot,41
RandBot,65,BullyBot,55
BullyBot,74,RandBot,28
RandBot,68,BullyBot,46
BullyBot,67,RandBot,53
BullyBot,75,RandBot,0
BullyBot,74,RandBot,13
RandBot,68,BullyBot,5
RandBot,57,BullyBot,63
RandBot,68,BullyBot,52
RandBot,68,BullyBot,28
BullyBot,71,RandBot,0
RandBot,69,BullyBot,27
RandBot,70,BullyBot,50
RandBot,77,BullyBot,43
BullyBot,71,RandBot,15
BullyBot,69,RandBot,19
RandBot,62,BullyBot,58
BullyBot,75,RandBot,0
BullyBot,69,RandBot,60
RandBot,59,BullyBot,61
BullyBot,74,RandBot,0
RandBot,67,BullyBot,12
RandBot,106,BullyBot,49
RandBot,68,BullyBot,0
BullyBot,76,RandBot,0
BullyBot,73,RandBot,0
BullyBot,73,RandBot,0
BullyBot,76,RandBot,0
RandBot,67,BullyBot,26
RandBot,62,BullyBot,58
RandBot,58,BullyBot,62
BullyBot,70,RandBot,0
RandBot,68,BullyBot,34
RandBot,63,BullyBot,57
BullyBot,74,RandBot,14
BullyBot,67,RandBot,0
BullyBot,67,RandBot,21
RandBot,61,BullyBot,59
BullyBot,75,RandBot,0
RandBot,60,BullyBot,60
BullyBot,82,RandBot,32
RandBot,58,BullyBot,62
RandBot,59,BullyBot,61
RandBot,66,BullyBot,54
BullyBot,76,RandBot,0
BullyBot,80,RandBot,6
BullyBot,69,RandBot,0
RandBot,66,BullyBot,54
RandBot,69,BullyBot,32
RandBot,73,BullyBot,42
RandBot,75,BullyBot,34
BullyBot,69,RandBot,0
BullyBot,74,RandBot,0
BullyBot,69,RandBot,39
BullyBot,69,RandBot,20
BullyBot,76,RandBot,0
