winner,winner_score,loser,loser_score
blitz,78,RandBot,15
blitz,69,RandBot,13
blitz,67,RandBot,53
RandBot,75,blitz,65
blitz,77,RandBot,43
blitz,75,RandBot,39
blitz,67,RandBot,10
blitz,59,RandBot,61
RandBot,68,blitz,59
blitz,79,RandBot,19
RandBot,66,blitz,54
RandBot,63,blitz,57
blitz,65,RandBot,55
RandBot,77,blitz,43
blitz,68,RandBot,0
RandBot,67,blitz,0
blitz,68,RandBot,14
RandBot,66,blitz,21
blitz,84,RandBot,19
RandBot,62,blitz,58
blitz,70,RandBot,0
RandBot,81,blitz,39
RandBot,62,blitz,58
RandBot,59,blitz,61
blitz,70,RandBot,0
blitz,72,RandBot,48
RandBot,73,blitz,14
blitz,72,RandBot,4
blitz,77,RandBot,43
RandBot,73,blitz,47
blitz,60,RandBot,60
blitz,67,RandBot,21
blitz,90,RandBot,45
RandBot,69,blitz,46
blitz,72,RandBot,34
RandBot,80,blitz,0
blitz,67,RandBot,28
blitz,61,RandBot,59
blitz,68,RandBot,39
blitz,77,RandBot,43
RandBot,73,blitz,14
blitz,72,RandBot,48
blitz,73,RandBot,0
blitz,74,RandBot,46
RandBot,66,blitz,54
blitz,67,RandBot,53
blitz,68,RandBot,24
RandBot,73,blitz,41
blitz,67,RandBot,21
RandBot,78,blitz,20
RandBot,70,blitz,5
blitz,79,RandBot,41
RandBot,83,blitz,37
RandBot,68,blitz,0
blitz,70,RandBot,35
RandBot,72,blitz,34
blitz,69,RandBot,0
RandBot,73,blitz,0
blitz,74,RandBot,48
blitz,79,RandBot,61
blitz,74,RandBot,20
blitz,68,RandBot,19
blitz,80,RandBot,40
RandBot,68,blitz,0
blitz,67,RandBot,63
blitz,66,RandBot,54
blitz,66,RandBot,34
blitz,67,RandBot,59
RandBot,67,blitz,13
RandBot,76,blitz,58
RandBot,74,blitz,33
blitz,69,RandBot,51
blitz,73,RandBot,0
RandBot,67,blitz,36
RandBot,66,blitz,0
blitz,72,RandBot,0
blitz,73,RandBot,35
RandBot,68,blitz,38
blitz,66,RandBot,21
RandBot,67,blitz,28
RandBot,71,blitz,20
blitz,67,RandBot,0
blitz,59,RandBot,61
blitz,65,RandBot,55
blitz,72,RandBot,49
blitz,85,RandBot,62
RandBot,70,blitz,22
blitz,74,RandBot,53
RandBot,75,blitz,26
blitz,74,RandBot,7
RandBot,66,blitz,12
blitz,68,RandBot,59
blitz,73,RandBot,47
RandBot,67,blitz,0
blitz,72,RandBot,21
blitz,55,RandBot,65
blitz,72,RandBot,40
blitz,77,RandBot,43
blitz,76,RandBot,14
blitz,67,RandBot,39
blitz,75,RandBot,34
RandBot,67,blitz,0
blitz,101,RandBot,18
blitz,67,RandBot,32
blitz,80,RandBot,15
RandBot,72,blitz,22
blitz,60,RandBot,60
