winner,winner_score,loser,loser_score
RdeepBot,74,blitz,19
RdeepBot,69,blitz,14
RdeepBot,76,blitz,5
RdeepBot,67,blitz,58
RdeepBot,68,blitz,52
RdeepBot,68,blitz,4
RdeepBot,67,blitz,20
RdeepBot,67,blitz,12
RdeepBot,70,blitz,23
RdeepBot,66,blitz,43
RdeepBot,69,blitz,20
RdeepBot,73,blitz,40
blitz,68,RdeepBot,58
RdeepBot,69,blitz,7
RdeepBot,73,blitz,39
RdeepBot,74,blitz,0
RdeepBot,68,blitz,20
RdeepBot,73,blitz,34
RdeepBot,66,blitz,23
RdeepBot,74,blitz,0
RdeepBot,78,blitz,49
RdeepBot,70,blitz,0
RdeepBot,70,blitz,31
blitz,55,RdeepBot,65
RdeepBot,70,blitz,6
blitz,72,RdeepBot,48
RdeepBot,78,blitz,20
blitz,71,RdeepBot,36
RdeepBot,72,blitz,35
blitz,64,RdeepBot,56
RdeepBot,67,blitz,14
RdeepBot,74,blitz,32
RdeepBot,67,blitz,60
RdeepBot,68,blitz,0
blitz,69,RdeepBot,31
RdeepBot,83,blitz,5
blitz,60,RdeepBot,60
RdeepBot,68,blitz,28
RdeepBot,80,blitz,28
RdeepBot,78,blitz,42
RdeepBot,68,blitz,14
RdeepBot,72,blitz,0
blitz,79,RdeepBot,29
RdeepBot,66,blitz,15
RdeepBot,76,blitz,24
RdeepBot,68,blitz,8
RdeepBot,70,blitz,37
RdeepBot,73,blitz,0
RdeepBot,66,blitz,39
RdeepBot,68,blitz,13
RdeepBot,75,blitz,0
RdeepBot,76,blitz,26
blitz,76,RdeepBot,64
RdeepBot,76,blitz,64
RdeepBot,84,blitz,0
RdeepBot,72,blitz,0
blitz,73,RdeepBot,0
RdeepBot,68,blitz,0
RdeepBot,77,blitz,18
RdeepBot,68,blitz,5
RdeepBot,67,blitz,28
blitz,102,RdeepBot,51
blitz,67,RdeepBot,53
RdeepBot,68,blitz,0
RdeepBot,75,blitz,0
RdeepBot,68,blitz,14
RdeepBot,75,blitz,41
RdeepBot,74,blitz,50
RdeepBot,68,blitz,22
RdeepBot,67,blitz,34
RdeepBot,68,blitz,12
RdeepBot,72,blitz,14
RdeepBot,76,blitz,31
RdeepBot,73,blitz,15
RdeepBot,74,blitz,0
RdeepBot,69,blitz,12
blitz,72,RdeepBot,34
RdeepBot,68,blitz,0
blitz,66,RdeepBot,54
blitz,67,RdeepBot,13
RdeepBot,72,blitz,0
RdeepBot,68,blitz,0
blitz,74,RdeepBot,31
RdeepBot,67,blitz,21
blitz,95,RdeepBot,34
blitz,101,RdeepBot,46
RdeepBot,70,blitz,0
RdeepBot,74,blitz,51
RdeepBot,70,blitz,0
blitz,75,RdeepBot,5
RdeepBot,76,blitz,26
RdeepBot,73,blitz,49
blitz,67,RdeepBot,40
blitz,81,RdeepBot,60
RdeepBot,68,blitz,7
RdeepBot,80,blitz,0
RdeepBot,66,blitz,26
RdeepBot,66,blitz,21
blitz,68,RdeepBot,27
RdeepBot,73,blitz,28
blitz,68,RdeepBot,31
RdeepBot,67,blitz,0
RdeepBot,77,blitz,14
blitz,67,RdeepBot,53
RdeepBot,73,blitz,34
RdeepBot,69,blitz,7
RdeepBot,109,blitz,0
blitz,90,RdeepBot,42
blitz,66,RdeepBot,14
RdeepBot,66,blitz,7
RdeepBot,67,blitz,26
RdeepBot,76,blitz,0
RdeepBot,67,blitz,34
RdeepBot,68,blitz,40
RdeepBot,63,blitz,57
RdeepBot,75,blitz,15
RdeepBot,68,blitz,6
blitz,76,RdeepBot,38
blitz,59,RdeepBot,61
RdeepBot,65,blitz,55
RdeepBot,68,blitz,0
RdeepBot,74,blitz,13
RdeepBot,68,blitz,36
RdeepBot,69,blitz,6
RdeepBot,74,blitz,0
blitz,72,RdeepBot,27
RdeepBot,73,blitz,0
RdeepBot,69,blitz,57
RdeepBot,80,blitz,60
RdeepBot,81,blitz,0
RdeepBot,67,blitz,18
RdeepBot,67,blitz,0
RdeepBot,67,blitz,53
blitz,60,RdeepBot,60
RdeepBot,73,blitz,0
blitz,71,RdeepBot,20
RdeepBot,82,blitz,19
RdeepBot,71,blitz,41
RdeepBot,67,blitz,13
RdeepBot,67,blitz,15
RdeepBot,68,blitz,0
blitz,66,RdeepBot,28
RdeepBot,89,blitz,6
blitz,79,RdeepBot,48
RdeepBot,79,blitz,53
RdeepBot,72,blitz,62
RdeepBot,88,blitz,0
RdeepBot,76,blitz,0
RdeepBot,66,blitz,18
RdeepBot,67,blitz,20
RdeepBot,73,blitz,13
RdeepBot,68,blitz,12
RdeepBot,67,blitz,5
blitz,78,RdeepBot,63
RdeepBot,75,blitz,0
RdeepBot,74,blitz,34
RdeepBot,73,blitz,0
RdeepBot,78,blitz,12
RdeepBot,67,blitz,0
RdeepBot,74,blitz,18
RdeepBot,71,blitz,21
RdeepBot,75,blitz,0
blitz,67,RdeepBot,60
RdeepBot,67,blitz,0
blitz,65,RdeepBot,55
RdeepBot,68,blitz,5
RdeepBot,80,blitz,48
blitz,66,RdeepBot,48
RdeepBot,73,blitz,27
RdeepBot,76,blitz,0
RdeepBot,69,blitz,0
RdeepBot,68,blitz,0
RdeepBot,73,blitz,35
RdeepBot,69,blitz,13
RdeepBot,80,blitz,28
RdeepBot,76,blitz,20
RdeepBot,66,blitz,28
RdeepBot,69,blitz,15
RdeepBot,75,blitz,0
RdeepBot,76,blitz,25
RdeepBot,77,blitz,14
blitz,78,RdeepBot,42
RdeepBot,76,blitz,6
RdeepBot,75,blitz,33
RdeepBot,75,blitz,24
RdeepBot,68,blitz,0
blitz,71,RdeepBot,49
