winner,winner_score,loser,loser_score
blitz,78,RandBot,7
RandBot,66,blitz,14
blitz,59,RandBot,61
RandBot,66,blitz,54
RandBot,71,blitz,14
blitz,65,RandBot,55
RandBot,70,blitz,55
blitz,69,RandBot,0
blitz,66,RandBot,19
blitz,77,RandBot,31
blitz,69,RandBot,0
blitz,81,RandBot,39
RandBot,76,blitz,44
RandBot,67,blitz,40
blitz,81,RandBot,0
blitz,58,RandBot,62
blitz,82,RandBot,20
RandBot,66,blitz,14
blitz,77,RandBot,43
blitz,74,RandBot,32
blitz,75,RandBot,0
blitz,80,RandBot,60
RandBot,69,blitz,12
blitz,81,RandBot,31
blitz,70,RandBot,0
RandBot,67,blitz,5
blitz,68,RandBot,59
blitz,66,RandBot,28
blitz,67,RandBot,0
blitz,72,RandBot,0
blitz,66,RandBot,12
blitz,83,RandBot,26
blitz,91,RandBot,43
blitz,60,RandBot,60
RandBot,67,blitz,40
blitz,55,RandBot,65
RandBot,70,blitz,55
RandBot,82,blitz,0
blitz,76,RandBot,13
blitz,73,RandBot,0
RandBot,73,blitz,0
blitz,61,RandBot,59
blitz,88,RandBot,40
RandBot,78,blitz,22
RandBot,68,blitz,13
RandBot,68,blitz,32
blitz,85,RandBot,13
RandBot,69,blitz,0
RandBot,76,blitz,64
RandBot,66,blitz,54
blitz,72,RandBot,27
blitz,86,RandBot,34
blitz,66,RandBot,0
blitz,106,RandBot,14
blitz,73,RandBot,0
blitz,76,RandBot,33
RandBot,61,blitz,59
blitz,88,RandBot,22
RandBot,84,blitz,31
blitz,66,RandBot,34
RandBot,66,blitz,54
blitz,76,RandBot,0
blitz,74,RandBot,6
RandBot,66,blitz,15
blitz,76,RandBot,14
blitz,73,RandBot,47
blitz,79,RandBot,0
RandBot,60,blitz,60
RandBot,59,blitz,61
RandBot,77,blitz,35
blitz,81,RandBot,39
blitz,75,RandBot,45
RandBot,62,blitz,58
blitz,73,RandBot,41
blitz,75,RandBot,31
blitz,70,RandBot,38
blitz,68,RandBot,12
RandBot,74,blitz,25
blitz,68,RandBot,40
RandBot,58,blitz,62
blitz,77,RandBot,50
blitz,75,RandBot,14
blitz,66,RandBot,7
blitz,73,RandBot,47
RandBot,73,blitz,7
blitz,59,RandBot,61
blitz,80,RandBot,13
RandBot,66,blitz,44
RandBot,74,blitz,14
blitz,58,RandBot,62
RandBot,72,blitz,0
blitz,63,RandBot,57
blitz,72,RandBot,28
blitz,65,RandBot,55
blitz,78,RandBot,42
blitz,66,RandBot,14
RandBot,67,blitz,13
blitz,74,RandBot,14
RandBot,58,blitz,62
blitz,67,RandBot,32
RandBot,67,blitz,48
RandBot,67,blitz,39
blitz,60,RandBot,60
blitz,79,RandBot,35
RandBot,68,blitz,6
blitz,73,RandBot,54
blitz,74,RandBot,13
blitz,66,RandBot,5
blitz,79,RandBot,39
blitz,73,RandBot,13
blitz,76,RandBot,0
RandBot,69,blitz,38
RandBot,61,blitz,59
blitz,58,RandBot,62
blitz,75,RandBot,5
blitz,71,RandBot,22
RandBot,55,blitz,65
RandBot,67,blitz,22
blitz,99,RandBot,0
RandBot,69,blitz,51
blitz,73,RandBot,0
RandBot,67,blitz,39
blitz,86,RandBot,46
blitz,75,RandBot,20
RandBot,67,blitz,46
blitz,73,RandBot,14
blitz,68,RandBot,52
blitz,66,RandBot,14
RandBot,75,blitz,0
RandBot,76,blitz,25
blitz,70,RandBot,8
blitz,75,RandBot,0
blitz,62,RandBot,58
blitz,85,RandBot,22
RandBot,68,blitz,45
blitz,75,RandBot,5
blitz,78,RandBot,0
RandBot,68,blitz,33
RandBot,80,blitz,0
blitz,73,RandBot,47
blitz,69,RandBot,6
blitz,69,RandBot,0
blitz,79,RandBot,0
RandBot,99,blitz,29
blitz,75,RandBot,45
blitz,61,RandBot,59
RandBot,67,blitz,53
blitz,78,RandBot,20
RandBot,66,blitz,40
blitz,67,RandBot,18
blitz,72,RandBot,47
RandBot,69,blitz,40
RandBot,67,blitz,28
blitz,82,RandBot,38
RandBot,74,blitz,6
blitz,73,RandBot,33
blitz,82,RandBot,38
blitz,76,RandBot,5
RandBot,66,blitz,54
blitz,74,RandBot,54
RandBot,68,blitz,34
blitz,66,RandBot,62
blitz,72,RandBot,13
blitz,73,RandBot,0
blitz,69,RandBot,18
RandBot,71,blitz,0
blitz,73,RandBot,0
RandBot,78,blitz,48
blitz,76,RandBot,38
blitz,77,RandBot,18
blitz,68,RandBot,54
blitz,69,RandBot,21
RandBot,62,blitz,58
blitz,73,RandBot,15
RandBot,69,blitz,0
RandBot,68,blitz,51
blitz,72,RandBot,0
blitz,67,RandBot,40
RandBot,83,blitz,0
blitz,86,RandBot,34
blitz,67,RandBot,13
blitz,67,RandBot,35
blitz,79,RandBot,41
blitz,75,RandBot,39
blitz,78,RandBot,35
RandBot,93,blitz,0
RandBot,74,blitz,38
RandBot,61,blitz,59
blitz,66,RandBot,0
RandBot,66,blitz,48
blitz,78,RandBot,12
blitz,77,RandBot,43
blitz,71,RandBot,26
blitz,69,RandBot,0
blitz,70,RandBot,15
blitz,76,RandBot,36
RandBot,67,blitz,34
blitz,69,RandBot,27
RandBot,69,blitz,0
blitz,71,RandBot,36
blitz,72,RandBot,0
blitz,76,RandBot,6
RandBot,76,blitz,44
blitz,66,RandBot,0
blitz,74,RandBot,26
RandBot,67,blitz,53
blitz,74,RandBot,40
blitz,69,RandBot,25
blitz,72,RandBot,39
blitz,74,RandBot,34
blitz,66,RandBot,20
blitz,75,RandBot,20
blitz,67,RandBot,53
RandBot,72,blitz,33
RandBot,107,blitz,47
RandBot,70,blitz,49
RandBot,85,blitz,0
RandBot,74,blitz,46
blitz,69,RandBot,39
blitz,67,RandBot,53
blitz,100,RandBot,21
blitz,68,RandBot,0
blitz,67,RandBot,46
blitz,74,RandBot,4
RandBot,66,blitz,35
RandBot,59,blitz,61
RandBot,76,blitz,27
RandBot,66,blitz,0
blitz,67,RandBot,53
RandBot,66,blitz,28
blitz,67,RandBot,0
blitz,66,RandBot,0
blitz,70,RandBot,50
blitz,85,RandBot,35
blitz,76,RandBot,0
RandBot,68,blitz,38
blitz,55,RandBot,65
blitz,70,RandBot,0
blitz,70,RandBot,24
RandBot,66,blitz,18
blitz,69,RandBot,39
RandBot,68,blitz,65
blitz,67,RandBot,34
blitz,66,RandBot,27
blitz,76,RandBot,39
blitz,77,RandBot,31
blitz,71,RandBot,0
RandBot,74,blitz,42
blitz,77,RandBot,5
blitz,69,RandBot,0
blitz,86,RandBot,20
blitz,68,RandBot,13
blitz,67,RandBot,0
RandBot,67,blitz,47
blitz,74,RandBot,46
blitz,79,RandBot,29
RandBot,74,blitz,25
blitz,81,RandBot,14
blitz,79,RandBot,0
RandBot,68,blitz,0
RandBot,69,blitz,20
blitz,75,RandBot,0
blitz,64,RandBot,56
blitz,72,RandBot,6
blitz,66,RandBot,0
RandBot,66,blitz,39
RandBot,66,blitz,41
blitz,66,RandBot,54
blitz,70,RandBot,50
blitz,75,RandBot,33
blitz,74,RandBot,0
blitz,67,RandBot,47
RandBot,71,blitz,36
blitz,71,RandBot,49
blitz,77,RandBot,31
blitz,83,RandBot,18
RandBot,98,blitz,22
RandBot,77,blitz,22
blitz,85,RandBot,20
blitz,65,RandBot,55
RandBot,66,blitz,47
RandBot,80,blitz,40
blitz,80,RandBot,25
blitz,74,RandBot,39
RandBot,71,blitz,0
blitz,79,RandBot,12
blitz,69,RandBot,13
RandBot,59,blitz,61
blitz,68,RandBot,27
blitz,73,RandBot,36
RandBot,66,blitz,54
blitz,88,RandBot,33
blitz,66,RandBot,54
RandBot,72,blitz,35
blitz,77,RandBot,12
RandBot,68,blitz,34
blitz,69,RandBot,5
RandBot,68,blitz,52
RandBot,76,blitz,59
blitz,71,RandBot,26
blitz,78,RandBot,24
RandBot,66,blitz,46
blitz,75,RandBot,0
blitz,68,RandBot,38
RandBot,61,blitz,59
RandBot,66,blitz,59
blitz,73,RandBot,47
blitz,66,RandBot,12
blitz,74,RandBot,0
RandBot,78,blitz,14
blitz,73,RandBot,27
blitz,71,RandBot,21
blitz,75,RandBot,45
RandBot,76,blitz,0
blitz,69,RandBot,51
blitz,67,RandBot,35
RandBot,69,blitz,24
blitz,58,RandBot,62
blitz,76,RandBot,10
blitz,60,RandBot,60
blitz,74,RandBot,14
blitz,80,RandBot,27
blitz,76,RandBot,4
RandBot,66,blitz,54
blitz,78,RandBot,14
RandBot,69,blitz,26
blitz,64,RandBot,56
blitz,79,RandBot,26
RandBot,67,blitz,41
blitz,68,RandBot,27
RandBot,55,blitz,65
blitz,74,RandBot,0
blitz,66,RandBot,0
blitz,70,RandBot,0
blitz,74,RandBot,27
blitz,73,RandBot,55
blitz,71,RandBot,60
RandBot,68,blitz,14
blitz,67,RandBot,14
blitz,66,RandBot,39
RandBot,72,blitz,48
blitz,74,RandBot,22
RandBot,63,blitz,57
blitz,64,RandBot,56
RandBot,69,blitz,0
blitz,70,RandBot,0
RandBot,61,blitz,59
blitz,74,RandBot,46
