winner,winner_score,loser,loser_score
siege,74,blitz,32
siege,69,blitz,21
blitz,75,siege,45
siege,76,blitz,44
blitz,78,siege,62
blitz,67,siege,60
blitz,84,siege,41
blitz,60,siege,60
siege,68,blitz,13
blitz,74,siege,59
siege,70,blitz,31
siege,76,blitz,44
blitz,60,siege,60
siege,77,blitz,7
siege,69,blitz,46
siege,67,blitz,0
siege,68,blitz,21
siege,74,blitz,27
siege,66,blitz,21
siege,76,blitz,14
siege,58,blitz,62
blitz,57,siege,63
blitz,69,siege,51
siege,73,blitz,0
siege,76,blitz,0
siege,69,blitz,0
siege,85,blitz,35
blitz,66,siege,22
blitz,61,siege,59
siege,87,blitz,13
siege,68,blitz,14
blitz,67,siege,15
blitz,69,siege,20
siege,76,blitz,59
blitz,103,siege,31
siege,86,blitz,0
siege,78,blitz,7
blitz,65,siege,55
siege,74,blitz,26
siege,69,blitz,45
siege,84,blitz,0
siege,75,blitz,45
blitz,85,siege,15
siege,72,blitz,7
siege,77,blitz,25
siege,75,blitz,28
siege,66,blitz,33
siege,80,blitz,0
blitz,75,siege,13
siege,77,blitz,14
siege,67,blitz,21
siege,75,blitz,11
siege,69,blitz,40
siege,79,blitz,0
siege,76,blitz,0
siege,72,blitz,0
blitz,81,siege,0
siege,75,blitz,0
siege,68,blitz,65
blitz,64,siege,56
blitz,78,siege,62
blitz,67,siege,39
blitz,65,siege,55
blitz,74,siege,34
siege,75,blitz,0
blitz,67,siege,46
siege,66,blitz,54
siege,66,blitz,49
blitz,64,siege,56
blitz,66,siege,27
blitz,64,siege,56
blitz,68,siege,52
siege,67,blitz,53
siege,67,blitz,21
siege,80,blitz,0
blitz,73,siege,47
blitz,66,siege,40
siege,69,blitz,0
blitz,71,siege,51
siege,58,blitz,62
blitz,56,siege,64
siege,68,blitz,0
siege,67,blitz,41
blitz,101,siege,39
siege,74,blitz,0
siege,83,blitz,27
siege,66,blitz,21
siege,75,blitz,26
siege,74,blitz,14
blitz,73,siege,18
siege,67,blitz,25
siege,88,blitz,0
blitz,100,siege,53
siege,87,blitz,0
blitz,65,siege,55
blitz,67,siege,52
siege,66,blitz,12
blitz,73,siege,40
blitz,66,siege,54
siege,67,blitz,35
blitz,75,siege,33
siege,67,blitz,0
siege,68,blitz,46
siege,88,blitz,21
siege,73,blitz,47
siege,70,blitz,8
siege,109,blitz,12
blitz,100,siege,29
blitz,72,siege,14
siege,71,blitz,19
siege,66,blitz,55
blitz,85,siege,40
blitz,93,siege,47
siege,69,blitz,64
siege,67,blitz,53
blitz,58,siege,62
siege,69,blitz,6
siege,78,blitz,42
blitz,68,siege,52
siege,68,blitz,34
siege,55,blitz,65
blitz,76,siege,44
siege,66,blitz,56
siege,77,blitz,0
siege,73,blitz,5
blitz,65,siege,55
siege,68,blitz,0
siege,68,blitz,52
siege,81,blitz,7
blitz,58,siege,62
blitz,67,siege,41
siege,75,blitz,0
blitz,66,siege,19
siege,68,blitz,34
siege,74,blitz,0
blitz,81,siege,39
siege,66,blitz,6
siege,72,blitz,20
siege,74,blitz,13
blitz,74,siege,12
blitz,67,siege,53
siege,55,blitz,65
blitz,67,siege,53
siege,69,blitz,0
siege,73,blitz,45
blitz,67,siege,48
siege,73,blitz,0
siege,65,blitz,55
siege,67,blitz,0
siege,66,blitz,40
siege,66,blitz,13
siege,73,blitz,0
siege,73,blitz,0
blitz,86,siege,55
siege,75,blitz,5
siege,68,blitz,48
siege,69,blitz,0
siege,72,blitz,48
siege,67,blitz,0
siege,72,blitz,13
blitz,69,siege,5
siege,68,blitz,0
siege,67,blitz,0
siege,79,blitz,55
blitz,61,siege,59
siege,67,blitz,27
blitz,59,siege,61
blitz,67,siege,41
siege,74,blitz,15
siege,69,blitz,24
blitz,74,siege,34
blitz,67,siege,53
